psmiles,value
*c1cc2c(cc1)cc(cc2)C1C(C(C1C(=O)Oc1c(cc(cc1)Cl)Cl)*)C(=O)Oc1c(cc(cc1)Cl)Cl,1.397
*=C=C=C(C(=*)CCOS(=O)(=O)c1ccc(cc1)C)CCOS(=O)(=O)c1ccc(cc1)C,1.39
*Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)*,1.4559375
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2c(c(c(cc2)Cc2c(c(c(cc2)*)C)C)C)C)cc1,1.266
*C(C*)(c1cc2c(cc1)cccc2)C,1.105
*C1(c2c(C(=O)O1)cccc2)c1cc(c(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1c(cc(cc1)*)C)C,1.291
*C(C*)(C(=O)OCCOC)C,1.19
*C1C(=O)N(C(=O)C1C(C*)c1ccccc1)CCCCCCCCCCCC,1.055
*C(C*)C(=O)N(c1cc(ccc1)C)O,1.4
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)*,1.54
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)Oc1cc(ccc1)Oc1ccc(cc1)*,1.51
*SC(C*)C,1.153333333
*C(C*)[Si](C)(C)C,0.863333333
*c1nc(nc(n1)Oc1c(cccc1)C(=O)OCCOC(=O)c1c(cccc1)O*)N(CC)c1ccccc1,1.116
*C(C*)C(=O)OC,1.203166667
*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)*,1.33
*C1(C(=O)OC(=O)C(C1)(C*)C)C,1.256
*c1nc(nc(n1)Oc1cc2c(cc1)cc(cc2)C(=O)Oc1ccc(cc1)C1(c2c(C(=O)O1)cccc2)c1ccc(cc1)OC(=O)c1cc2c(cc1)cc(cc2)O*)N1CCN(CC1)C,1.204
*NC(CCC(=O)*)C(=O)OCc1ccccc1,1.225
*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)*,1.52
