psmiles,value
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)Oc1ccc(cc1)*,529.1076923
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Oc2ccc(cc2)OC(=O)*)cc1,433.5
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,478.074
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc(ccc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc(ccc2)Oc2ccc(cc2)*)cc1,476.85
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(C(C(*)(F)F)(F)F)(F)F)cc1,496
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(C(C(*)(F)F)(F)F)(F)F)cc1,510
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc(ccc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1cc(ccc1)*,570
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,554.0966667
*N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,543
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)CCCCCCCC*)cc1,467
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc(ccc2)Oc2ccc(cc2)*)cc1,478.425
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)*)cc1,515
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,545.6
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,515.2322222
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,494
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc(ccc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,489
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)C(=O)c2cc(ccc2)C(=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,500.3333333
*N1C(=O)c2c(C1=O)cc(cc2)C(=O)c1cc2c(C(=O)N(C2=O)CCCCCC*)cc1,455
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,490
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,468.1218182
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,490
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)OCCOCCOc2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,408
