n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.425,0.075,0.215,0.225,0.01,0.05,,86.13
2,O=C(O)c1ccccc1C(=O)O,OCCCCCCO,,,,,,0.5,0.5,,,,,,-8.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.4258,0.074,0.2179,0.2244,0.009,0.049,,80.9
2,O=C(O)C1CCC(C(=O)O)CC1,OCCOCCO,,,,,,0.5,0.5,,,,,,-12.0
5,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.5,0.142,0.0985,0.018,0.2415,,,57.71
4,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CC1(C)C(O)C(C)(C)C1O,,,,0.4227,0.0775,0.2746,0.2251,,,,78.77
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.08,0.42,0.195,0.018,0.287,,,30.21
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-40.74
2,O=C(O)C1CCCC(C(=O)O)C1,OCCO,,,,,,0.5,0.5,,,,,,10.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.146,0.354,0.2335,0.0035,0.263,,,31.94
2,O=C(O)c1ccc(C(=O)O)cc1,OCCCCCCO,,,,,,0.5,0.5,,,,,,14.0
