n_components,smiles_1,smiles_2,ratio_1,ratio_2,tg
2,C[Si]1(C)CCC1,C[Si]1(C)CCC1,0.5,0.5,203.0
2,C=C(Cl)C(=O)OCCC,C=C(Cl)C(=O)OCCC,0.5,0.5,344.0
2,O=C(Cl)Cl,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)Cl)C(F)(F)Cl)cc1,0.5,0.5,457.0
2,NCCCCN,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,0.428571,0.571429,410.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCN,0.666667,0.333333,383.0
2,Nc1ccc(Oc2ccc(N)cc2)cc1,O=C(O)c1ccc(C2(c3ccc(C(=O)O)cc3)OC(=O)c3ccccc32)cc1,0.5,0.5,593.0
2,O=C(Cl)Cl,Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,0.5,0.5,430.0
2,O=CC(=O)c1ccc(C(=O)C=O)cc1,Nc1ccc(S(=O)(=O)c2ccc(N)c(N)c2)cc1N,0.5,0.5,615.0
2,OCCO,O=C(O)CCCCCCCCC(=O)O,0.5,0.5,243.0
2,C(CCOCC1CO1)COCC1CO1,Nc1ccc(Cc2ccc(N)cc2)cc1,0.666667,0.333333,355.0
2,CC[Si](=O)CC,CC[Si](=O)CC,0.5,0.5,130.0
2,C[Si](C)=N,C[Si](C)=N,0.5,0.5,191.0
2,C=CSC,C=CSC,0.5,0.5,272.0
2,C=Cc1ccc(Cl)cc1,C=Cc1ccc(Cl)cc1,0.5,0.5,389.0
2,OCCCO,O=C(O)c1ccc2c(C(=O)O)cccc2c1,0.5,0.5,397.0
2,C=C(C)C(=O)OCCCC,C=C(C)C(=O)OCCCC,0.5,0.5,293.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Nc1ccc(Cc2ccc(N)cc2)cc1,0.666667,0.333333,451.0
2,C=Cc1ccc(Cl)c(C)c1,C=Cc1ccc(Cl)c(C)c1,0.5,0.5,387.0
